#,Name,Disclosure Date,Rank,Check,Description
"222","post/windows/gather/phish_windows_credentials","","normal","No","Windows Gather User Credentials (phishing)"
"223","post/windows/gather/credentials/vnc","","normal","No","Windows Gather VNC Password Extraction"
"224","post/windows/gather/checkvm","","normal","No","Windows Gather Virtual Environment Detection"
"225","post/windows/gather/credentials/wsftp_client","","normal","No","Windows Gather WS_FTP Saved Password Extraction"
"226","post/windows/gather/credentials/winscp","","normal","No","Windows Gather WinSCP Saved Password Extraction"
"227","post/windows/gather/enum_hostfile","","normal","No","Windows Gather Windows Host File Enumeration"
"228","post/windows/wlan/wlan_bss_list","","normal","No","Windows Gather Wireless BSS Info"
"229","post/windows/wlan/wlan_current_connection","","normal","No","Windows Gather Wireless Current Connection Info"
"230","post/windows/wlan/wlan_profile","","normal","No","Windows Gather Wireless Profile"
"231","post/windows/gather/credentials/xshell_xftp_password","","normal","No","Windows Gather Xshell and Xftp Passwords"
"232","post/windows/gather/credentials/mremote","","normal","No","Windows Gather mRemote Saved Password Extraction"
"233","post/windows/gather/enum_hyperv_vms","","normal","No","Windows Hyper-V VM Enumeration"
"234","post/windows/gather/enum_av","","normal","No","Windows Installed AntiVirus Enumeration"
"235","post/windows/gather/credentials/windowslivemail","","normal","No","Windows Live Mail credential gatherer"
"236","post/windows/manage/hashcarve","","normal","No","Windows Local User Account Hash Carver"
"237","post/windows/manage/add_user","","normal","No","Windows Manage Add User to the Domain and/or to a Domain Group"
"238","post/windows/manage/inject_ca","","normal","No","Windows Manage Certificate Authority Injection"
"239","post/windows/manage/remove_ca","","normal","No","Windows Manage Certificate Authority Removal"
"240","post/windows/manage/change_password","","normal","No","Windows Manage Change Password"
"241","post/windows/manage/download_exec","","normal","No","Windows Manage Download and/or Execute"
"242","post/windows/manage/driver_loader","","normal","No","Windows Manage Driver Loader"
"243","post/windows/manage/enable_rdp","","normal","No","Windows Manage Enable Remote Desktop"
"244","post/windows/manage/remove_host","","normal","No","Windows Manage Host File Entry Removal"
"245","post/windows/manage/inject_host","","normal","No","Windows Manage Hosts File Injection"
"246","post/windows/manage/multi_meterpreter_inject","","normal","No","Windows Manage Inject in Memory Multiple Payloads"
"247","post/windows/manage/mssql_local_auth_bypass","","normal","No","Windows Manage Local Microsoft SQL Server Authorization Bypass"
"248","post/windows/manage/nbd_server","","normal","No","Windows Manage Local NBD Server for Remote Disks"
"249","post/windows/manage/delete_user","","normal","No","Windows Manage Local User Account Deletion"
"250","post/windows/manage/shellcode_inject","","normal","No","Windows Manage Memory Shellcode Injection Module"
"251","post/windows/manage/pxeexploit","","normal","No","Windows Manage PXE Exploit Server"
"252","post/windows/manage/persistence_exe","","normal","No","Windows Manage Persistent EXE Payload Installer"
"253","post/windows/manage/powershell/exec_powershell","","normal","No","Windows Manage PowerShell Download and/or Execute"
"254","post/windows/manage/priv_migrate","","normal","No","Windows Manage Privilege Based Process Migration"
"255","post/windows/manage/migrate","","normal","No","Windows Manage Process Migration"
"256","post/windows/manage/ie_proxypac","","normal","No","Windows Manage Proxy PAC File"
"257","post/windows/manage/clone_proxy_settings","","normal","No","Windows Manage Proxy Setting Cloner"
"258","post/windows/manage/rid_hijack","","normal","No","Windows Manage RID Hijacking"
"259","post/windows/manage/reflective_dll_inject","","normal","No","Windows Manage Reflective DLL Injection Module"
"260","post/windows/manage/rpcapd_start","","normal","No","Windows Manage Remote Packet Capture Service Starter"
"261","post/windows/manage/pptp_tunnel","","normal","No","Windows Manage Remote Point-to-Point Tunneling Protocol"
"262","post/windows/manage/run_as","","normal","No","Windows Manage Run Command As User"
"263","post/windows/manage/sdel","","normal","No","Windows Manage Safe Delete"
"264","post/windows/manage/portproxy","","normal","No","Windows Manage Set Port Forwarding With PortProxy"
"265","post/windows/manage/enable_support_account","","normal","No","Windows Manage Trojanize Support Account"
"266","post/windows/manage/vmdk_mount","","normal","No","Windows Manage VMDK Mount Drive"
"267","post/windows/manage/vss","","normal","No","Windows Manage Volume Shadow Copies"
"268","post/windows/manage/webcam","","normal","No","Windows Manage Webcam"
"269","post/windows/gather/netlm_downgrade","","normal","No","Windows NetLM Downgrade Attack"
